종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"192650","드림텍","KOSPI","전기·전자","7030","-100","-1.40","484296988230"
"024090","디씨엠","KOSPI","금속","12910","-100","-0.77","147174000000"
"003160","디아이","KOSPI","의료·정밀기기","21700","200","0.93","614110000000"
"092200","디아이씨","KOSPI","운송장비·부품","11700","-570","-4.65","454996257300"
"377190","디앤디플랫폼리츠","KOSPI","부동산","3345","-50","-1.47","295698000000"
"013570","디와이","KOSPI","기타금융","4675","-100","-2.09","123044284275"
"024900","디와이덕양","KOSPI","운송장비·부품","2155","-45","-2.05","70177531900"
"210540","디와이파워","KOSPI","기계·장비","13990","10","0.07","154473494920"
"032350","롯데관광개발","KOSPI","일반서비스","22750","-300","-1.30","1809523261000"
"089860","롯데렌탈","KOSPI","일반서비스","32000","-100","-0.31","1161900416000"
"330590","롯데리츠","KOSPI","부동산","3945","10","0.25","1139982247380"
"000400","롯데손해보험","KOSPI","보험","1780","3","0.17","552398649600"
"023530","롯데쇼핑","KOSPI","유통","74700","-500","-0.66","2113169998500"
"020150","롯데에너지머티리얼즈","KOSPI","전기·전자","32300","-100","-0.31","1691404454900"
"280360","롯데웰푸드","KOSPI","음식료·담배","118200","-400","-0.34","1099800646800"
"286940","롯데이노베이트","KOSPI","IT 서비스","20000","-250","-1.23","302587340000"
"004000","롯데정밀화학","KOSPI","화학","47250","100","0.21","1219050000000"
"004990","롯데지주","KOSPI","기타금융","27700","-200","-0.72","2905985864900"
"00499K","롯데지주우","KOSPI","기타금융","28550","200","0.71","22999965650"
